AX,AY,AZ,Activity
0.29,0.08,-0.56,Falling Backwards
-0.56,-1.09,-1.32,Falling Backwards
-0.2,-0.72,-0.22,Falling Backwards
0.09,0.15,-0.43,Falling Backwards
-0.03,-0.34,-0.63,Falling Backwards
0.24,-0.17,-0.36,Falling Backwards
,-0.17,-1.01,Falling Backwards
0.17,0.54,-1.47,Falling Backwards
0.06,0.95,-1.47,Falling Backwards
0.15,0.85,-1.98,Falling Backwards
0.23,1.01,-0.59,Falling Backwards
0.11,1.06,0.04,Falling Backwards
0.38,1.33,0.37,Falling Backwards
0.18,0.87,-0.17,Falling Backwards
0.07,0.44,0.26,Falling Backwards
0.18,0.55,0.02,Falling Backwards
-0.04,1.66,0.06,Falling Backwards
0.4,1.19,0.01,Falling Backwards
0.02,0.66,0.22,Falling Backwards
0.56,1.21,0.22,Falling Backwards
0.28,0.96,0.48,Falling Backwards
0.31,0.92,0.01,Falling Backwards
0.24,0.57,-0.41,Falling Backwards
-0.03,1.04,-1.55,Falling Backwards
0.1,-0.17,-0.39,Falling Backwards
0.1,-0.17,-0.39,Falling Backwards
0.03,0.54,-0.56,Falling Backwards
0.07,0.94,-0.61,Falling Backwards
0.2,0.8,-0.51,Falling Backwards
0.25,0.85,-0.49,Falling Backwards
0.09,0.84,-0.63,Falling Backwards
0.08,-1.15,-0.17,Falling Backwards
0.07,-0.24,-0.01,Falling Backwards
0.07,-0.24,-0.01,Falling Backwards
0.07,-0.66,-0.41,Falling Backwards
-0.05,-1.37,-1.32,Falling Backwards
0.69,-1.15,0.1,Falling Backwards
0.69,-1.15,0.1,Falling Backwards
-0.62,-0.47,-0.36,Falling Backwards
-0.62,-0.47,-0.36,Falling Backwards
-0.1,0.18,0.2,Falling Backwards
-0.1,0.18,0.2,Falling Backwards
0.2,0.06,-0.08,Falling Backwards
0.39,0.27,0.13,Falling Backwards
-0.76,-0.77,-1.58,Falling Backwards
-0.07,0.89,-1.52,Falling Backwards
-0.07,0.89,-1.52,Falling Backwards
-0.19,-0.42,-0.99,Falling Backwards
-0.19,-0.42,-0.99,Falling Backwards
0.37,1.46,0.11,Falling Backwards
0.39,1.07,0.3,Falling Backwards
0.09,0.73,0.18,Falling Backwards
0.09,0.73,0.18,Falling Backwards
0.2,0.61,0.18,Falling Backwards
0.2,0.61,0.18,Falling Backwards
0.45,0.86,0.13,Falling Backwards
0.45,0.86,0.13,Falling Backwards
0.71,0.59,-0.56,Falling Backwards
0.71,0.59,-0.56,Falling Backwards
0.57,0.82,0.01,Falling Backwards
0.27,0.51,-0.43,Falling Backwards
0.27,0.51,-0.43,Falling Backwards
